trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.5, 'e': 1}",20,0,-52.04619685698284,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 1}",20,0,-111.03432828267731,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
167,False,"{'a': 0.5, 'e': 1}",20,0,-84.91329805957253,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 1}",30,0,-53.475581466064725,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 1}",20,0,-103.73337228797106,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
170,False,"{'a': 0.5, 'e': 1}",20,0,-100.10476116824282,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 1}",30,0,-201.22289168293455,"{0: 18, 1: 3, 2: 3, 3: 3, 4: 3}",0
172,False,"{'a': 0.5, 'e': 1}",25,0,-180.9973148879282,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
173,False,"{'a': 0.5, 'e': 1}",20,0,-138.59566341633857,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
174,False,"{'a': 0.5, 'e': 1}",20,0,-60.3216828855283,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
175,False,"{'a': 0.5, 'e': 1}",35,12,-158.5367009536215,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 2}",1
176,False,"{'a': 0.5, 'e': 1}",25,0,-90.92004757891176,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 1}",25,0,-190.36878807878065,"{0: 10, 1: 2, 2: 11, 3: 0, 4: 2}",0
178,False,"{'a': 0.5, 'e': 1}",20,0,-115.90524862920181,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
179,False,"{'a': 0.5, 'e': 1}",25,9,-24.530624054420095,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 1}",20,0,-117.73975732535916,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
181,False,"{'a': 0.5, 'e': 1}",25,0,-128.80695563108148,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",1
182,False,"{'a': 0.5, 'e': 1}",25,0,-128.18512381787573,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
183,False,"{'a': 0.5, 'e': 1}",25,0,-118.7540600569381,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
184,False,"{'a': 0.5, 'e': 1}",20,0,-90.81768561648722,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
185,False,"{'a': 0.5, 'e': 1}",30,0,-174.1229950234005,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
186,False,"{'a': 0.5, 'e': 1}",20,0,-64.39167492891278,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
187,False,"{'a': 0.5, 'e': 1}",25,0,-102.78929184896454,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
188,False,"{'a': 0.5, 'e': 1}",25,0,-162.78386346672283,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
189,False,"{'a': 0.5, 'e': 1}",25,0,-122.62162596206825,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
190,False,"{'a': 0.5, 'e': 1}",25,2,-52.57477359442519,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 1}",1
191,False,"{'a': 0.5, 'e': 1}",30,12,-68.8585156820716,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 0}",1
192,False,"{'a': 0.5, 'e': 1}",25,0,-105.96585644763223,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
193,False,"{'a': 0.5, 'e': 1}",20,0,-58.86421610279794,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
194,False,"{'a': 0.5, 'e': 1}",20,0,-89.88170342370032,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
195,False,"{'a': 0.5, 'e': 1}",20,0,-135.3326091434944,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
196,False,"{'a': 0.5, 'e': 1}",20,0,-72.88127144983608,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
197,False,"{'a': 0.5, 'e': 1}",25,0,-198.5121132154462,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
198,False,"{'a': 0.5, 'e': 1}",30,0,-110.66150225331435,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
199,False,"{'a': 0.5, 'e': 1}",25,0,-211.6679253252739,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
200,False,"{'a': 0.5, 'e': 1}",20,9,-35.61156935288293,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
